tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains
9465,5,1435000,170600,105000,54100,42800,35200,1087300,200
9466,5,2147300,85900,115800,48800,41700,32800,1856800,200
9467,5,1615600,104300,90500,49000,43100,37200,1358200,200
9468,5,1416800,93000,96000,50400,43300,36800,1163900,200
9469,5,1857500,84200,89200,85100,43200,35700,1580200,100
9470,5,1491700,79200,90100,52200,44400,41100,1250100,200
9471,5,1761200,89300,82600,54100,42700,35100,1514000,100
9472,5,1624300,86400,104800,70200,43400,35800,1344500,100
9473,5,1530100,124400,84200,55500,42900,35900,1241800,200
9474,5,2229700,111400,136700,64700,52700,34400,1889600,100
9475,5,1691000,82400,123800,64800,50700,42600,1400200,200
9476,5,1415900,104700,119300,58400,42700,35900,1106000,200
9477,5,1992800,79700,87700,44000,41000,36200,1752900,200
9478,5,1672500,128900,145700,54500,43000,37500,1267700,100
9479,5,1454000,78700,109300,52700,42500,29800,1183700,200
9480,5,1653900,88900,111400,64500,54600,51800,1375700,200
9481,5,1692100,83300,99300,49300,42800,35100,1446600,200
9482,5,1993800,79800,102600,43100,40200,31700,1757100,100
9483,5,1958400,93800,106700,49700,41400,34400,1681700,200
9484,5,1387300,62600,135700,42200,39100,34600,1131400,100
9485,5,1210800,88900,103100,53100,42300,34000,946200,200
9486,5,1293200,69300,114200,45600,42300,36100,1047700,100
9487,5,1007300,115200,111700,49300,42800,36600,716400,200
9488,5,1366300,126500,103900,67100,43100,35500,1051700,100
9489,5,1178300,89700,97000,48500,42300,34300,920200,200
9490,5,1632300,78200,106600,50300,43600,37000,1351100,100
9491,5,1205900,75500,104100,51400,44100,42200,955900,100
9492,5,1178800,77800,96200,54300,43600,34700,935900,100
9493,5,1505700,101200,95600,66900,42100,33400,1225400,100
9494,5,1071600,72500,108900,53900,44000,41600,817600,200
9495,5,1161700,85800,92300,47200,40800,34100,897800,100
9496,5,1273900,98500,109000,99600,42400,87400,947100,200
9497,5,985100,82900,119100,57200,42700,36200,696600,200
9498,5,1318000,87000,99700,47400,41000,32700,1028200,100
9499,5,1044700,102100,110700,48900,42900,35500,753000,200
9500,5,959800,86500,94200,51000,41600,29000,715200,100
9501,5,947500,113700,81600,46700,40400,31900,688700,100
9502,5,1080200,99200,101000,50000,42900,35500,790300,200
