tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains
10273,4,1317400,98300,90300,72400,53000,59000,1025400,10500
10274,4,1055000,88000,100800,57500,47100,45200,781000,11100
10275,4,1352100,94200,98100,62100,45300,53100,1069000,10800
10276,4,1350700,99000,93500,76400,50400,64800,1049400,10800
10277,4,1483700,112600,107100,62800,52500,52000,1169200,10700
10278,4,1667900,74300,86500,57000,52100,53800,1414400,10700
10279,4,1248300,78100,86200,79300,53100,67800,942100,11000
10280,4,1140900,114300,106900,74500,51900,62000,801700,10800
10281,4,1024300,84100,104900,68700,50900,59100,738900,10700
10282,4,1367500,93300,93800,53400,47400,46900,1065900,10800
10283,4,1214700,103000,102200,62700,52200,51600,923000,10800
10284,4,1505300,96500,97400,71900,53000,59600,1209300,15300
10285,4,1443500,101900,127500,70100,49600,60300,1119800,10700
10286,4,1472300,108500,157200,64900,52500,55000,1118000,10800
10287,4,1473200,87800,111300,70700,52500,58100,1179700,10800
10288,4,1041900,88500,96100,73800,51000,62500,756900,10900
10289,4,1405400,89200,100800,76200,53100,65100,1107900,11000
10290,4,1275500,94600,95500,66500,52300,55900,986800,10600
10291,4,1467500,70700,106800,75700,53600,64200,1183700,10700
10292,4,1225900,92400,103000,56600,47600,44300,939400,10800
10293,4,1458400,82200,87200,56300,53400,46300,1197600,10900
10294,4,1789300,98700,86000,89900,52700,74200,1462400,10800
10295,4,1314800,69800,107900,54200,47300,46900,1051200,10900
10296,4,1259700,79700,89200,78200,52200,67800,979900,10800
10297,4,977800,92200,91600,61800,52200,52500,709600,10500
10298,4,1227500,78200,97300,78900,52200,60700,941000,11000
10299,4,1042300,78500,111600,75500,53500,63500,720000,10800
10300,4,1043900,81400,97100,71000,51300,60900,749000,10800
10301,4,1368200,85500,95800,62600,47400,52200,1097200,10300
10302,4,1012800,102700,97400,62500,52400,52200,722600,11000
10303,4,1686000,96900,106700,67000,50100,57500,1388200,10800
10304,4,968700,279800,94300,78700,53000,65700,488300,11000
10305,4,2779300,102400,93000,70800,52700,59100,2484800,10700
10306,4,1672600,71400,96000,57500,47700,47600,1398600,10900
10307,4,1673200,87900,90600,90800,65300,83000,1382600,10700
10308,4,1484000,146500,97900,68600,49500,55500,1146900,10800
10309,4,1728100,81900,105500,74700,52800,64300,1441900,10800
10310,4,1267700,106700,110200,57900,47700,45500,963800,10600
10311,4,1533700,80200,108000,75800,53600,64600,1238400,11000
10312,4,1465400,77700,95500,64900,51500,58200,1192000,10600
10313,4,3697000,114700,111300,71400,51400,58800,3354500,15400
10314,4,2072400,81900,109200,82200,65100,61400,1768700,10900
