fileName,run,wholeUpdate_average,controlBehaviorUpdate_average,transportLinesUpdate_average,electricHeatFluidCircuitUpdate_average,electricNetworkUpdate_average,fluidFlowUpdate_average,entityUpdate_average,trains_average,spacePlatforms_average
23_mcmayhem57,8,1480327.8419418887,146492.1753964037,114720.91221790318,102106.1774658128,89488.80002237199,88471.26038200174,1061424.259626947,6108.733465700942,137.18784082328924
23_mcmayhem57,9,1504503.1963981097,145336.4579546408,116036.92776643642,102739.12301798149,89437.95128499118,89527.95380184009,1082985.6623507368,6371.15411504796,129.53941665035376
22_mcmayhem57,0,1526402.9391202214,169512.23188567912,117306.27534327023,117911.40971503677,104566.77479795297,103910.81965379346,1060099.0044464332,6126.516401465366,129.2765457647026
22_mcmayhem57,1,1517753.041192427,166906.33966274225,116474.20789171956,117618.52121144328,104826.91070779384,102982.92178192902,1057554.4450348164,6276.9065130456665,130.55454570877262
22_mcmayhem57,2,1527147.123801001,169352.47629967282,117927.36374059677,117838.63083419559,104835.92382337313,103433.90754775022,1059742.3949215582,6347.37268939288,133.63069437064794
22_mcmayhem57,3,1547686.1489415253,169772.5048239604,116562.98554210129,118927.66855896417,105047.52649682597,104792.83257361784,1078633.8907687576,6316.8628876646435,131.00478201291983
22_mcmayhem57,4,1529926.2255655918,168181.37811460052,118955.23924047092,118074.07086327918,105258.78520092844,103152.96009396236,1063373.3074191113,6453.178220867474,134.6933639083867
22_mcmayhem57,5,1506515.825386616,167337.53740317124,117851.03610279929,116955.69786627142,104155.4489778797,102645.26692580889,1045271.8979837244,6176.014429933723,124.67350876702369
22_mcmayhem57,6,1515400.8501356302,168754.7498531838,117747.72784473839,117956.94790122766,105140.3758494365,103071.9958611818,1051429.3967952123,6446.114264940295,124.45538186190889
22_mcmayhem57,7,1518940.9407421907,167692.01599597305,118783.76073156408,118234.42490002517,104542.0901031908,104133.06859811516,1055242.4732235242,6339.134203976621,122.9760340054252
22_mcmayhem57,8,1513267.4375681647,167563.09460555384,117509.49970636763,117179.50446041556,104214.0859643726,102998.02007886127,1051729.7994910371,6178.897620179535,122.7690930954445
22_mcmayhem57,9,1514961.2265443665,166935.03733325875,115983.6209066249,117237.64087362622,104371.78612377304,103074.20789171956,1056598.7695405353,6178.139769009201,124.57003831203333
18_lady_meyneth,0,1159074.4511871138,121339.29640090607,84822.59571017086,114162.52411980201,93334.22355211276,103863.68746329595,779675.8074890238,11662.182946950417,118.41774098828267
18_lady_meyneth,1,1207620.7500209739,126142.70533292319,90671.05344109175,133802.8188707738,98365.86313934953,122211.45166251852,796232.218462485,11834.880729326882,125.92074722447495
18_lady_meyneth,2,1208928.5662350736,127014.82703655024,90146.04155597193,134031.2424844095,98871.98467518667,122436.94454542913,796270.4382113594,11422.173438854554,123.14102743365306
18_lady_meyneth,3,1214824.2036969713,128203.50680947454,90055.87684219357,134337.35003775274,99014.765513577,122774.44839061495,799357.9630302861,11829.407981207529,120.28859867445958
18_lady_meyneth,4,1217638.3707598087,129294.46852540619,92130.81462009564,134308.8117676669,98527.8195698985,122755.70345926899,800722.8334125675,11439.234877932828,126.44089599821024
18_lady_meyneth,5,1207233.2335915433,126760.15548533236,90559.26060572163,134189.28102016274,98627.62381498364,122646.38272882352,796184.7506921334,11356.827651779971,122.08395089348136
