tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate
605,0,5339600,29700,104100,217100,211600,187000,4936700
606,0,7061200,25100,116400,244100,211900,237500,6577000
607,0,9555700,58000,141600,243800,212500,236900,8967500
608,0,14902100,47400,121100,254400,217400,243800,14354300
609,0,7569400,34900,95800,244100,214100,234100,7152600
610,0,7406200,33800,136600,236200,215100,225100,6920500
611,0,8311100,33700,127700,211300,183900,201800,7893900
612,0,8897100,83800,119100,230600,208600,222100,8428800
613,0,8093200,68500,123400,176400,169400,159800,7682600
614,0,7685300,22000,98600,211400,205900,208700,7305900
615,0,10216600,66300,104000,225600,213400,220400,9761900
616,0,11883900,29000,124400,214300,182500,204800,11447200
617,0,8276700,58600,120500,245800,214300,237100,7779300
618,0,7525400,47500,121800,215100,205800,211400,7035400
619,0,7563100,40500,117100,224300,217500,156800,7088500
620,0,8766600,50900,128100,206300,200600,186800,8314400
621,0,7792100,38000,112000,220000,213800,196200,7323800
622,0,8185100,84000,110900,193300,187300,165300,7691500
623,0,11244500,56500,119800,349400,214200,227400,10675300
624,0,13154700,120100,129500,250900,215800,241600,12591700
625,0,8347400,44700,124100,211900,177400,202300,7912000
626,0,7302500,21200,111000,215400,205300,212400,6903200
627,0,7433400,66100,168800,219200,213800,213700,6911800
628,0,8815400,51800,110700,224100,164600,218200,8371900
629,0,7630800,30700,112600,225900,207300,218800,7174600
630,0,8215000,21900,112300,221600,177700,214900,7774700
631,0,7210200,76400,123500,212000,206300,156100,6728300
632,0,9249600,53600,137500,231600,213200,223200,8767500
633,0,7946400,56000,117700,214800,211100,207400,7504600
634,0,7296400,36100,129000,230100,212900,224500,6796800
635,0,6404900,46900,120800,191500,185500,166000,5976400
636,0,7674500,88200,117400,232000,213000,221800,7118000
637,0,5815200,77400,125600,203200,190600,194200,5335000
638,0,7174300,21700,104200,231000,215100,215300,6641000
639,0,9902200,20500,119200,224600,217500,218400,9397500
640,0,9264600,39400,215900,185300,178200,162200,8774700
641,0,7463000,67500,108600,224900,182900,218800,7012000
642,0,7444500,74000,100200,224100,200700,215500,6995100
643,0,7914500,32800,111800,205500,199200,156500,7511200
644,0,8662800,22100,120900,227300,206400,221400,8234000
645,0,7394300,42800,114800,222600,171400,216200,6961400
646,0,8043400,59000,129300,210700,191300,201100,7547400
647,0,10102100,27200,122400,233300,213900,224800,9669500
648,0,12730700,84500,128500,240300,223700,230500,12212700
649,0,8519800,80100,109100,342000,264900,337000,7930700
650,0,8148400,121700,133400,229200,216300,217400,7606100
651,0,7512300,72500,108100,222300,160700,215200,7004500
652,0,8659600,57300,140500,207700,202500,179700,8204700
653,0,7607100,70900,111700,212900,207300,186400,7162600
654,0,8244100,68700,118300,233100,212800,224600,7759300
655,0,7192700,69400,129500,216900,211900,208800,6640800
656,0,9703900,36500,101800,234100,171200,222900,9161300
657,0,7459000,27800,141700,199700,184000,191200,7029200
658,0,7347300,61700,114200,219700,214300,157400,6834700
659,0,5929000,35000,115900,214900,207100,153000,5490500
660,0,7495700,29200,126200,249700,218800,238800,7020500
661,0,5899700,44100,118100,231900,207400,221800,5458000
662,0,6574600,52900,120700,197800,180000,191200,6150300
663,0,9571700,35900,102700,230600,208400,225200,9149600
664,0,10366100,90100,113900,215400,208600,194400,9897800
665,0,7233400,48200,112400,228800,208900,220800,6777100
666,0,7622200,46600,127600,233100,167400,222300,7124600
667,0,7496900,76300,129500,221300,214900,215100,7026200
668,0,8465600,24800,122100,221400,188000,215800,8059300
669,0,8271800,28400,126000,229600,192000,219700,7775200
670,0,8574500,36900,115200,244600,221500,232400,8043100
671,0,10244200,31000,119300,231000,221900,227900,9804800
672,0,11615100,61800,127200,224900,163700,218900,11162800
673,0,8772100,50200,117100,248100,216500,235100,8321500
674,0,6896100,40600,177600,232400,214600,221200,6395300
675,0,7352400,20300,120500,216700,210900,205200,6944400
676,0,9054700,75100,133300,212500,205600,203100,8569800
677,0,7787100,82100,118800,238900,207900,228000,7288400
678,0,8410900,57100,142200,196000,190100,166200,7904000
679,0,10613000,49900,117200,222900,178300,216400,10150700
680,0,11234000,22000,119300,243400,214700,234600,10795400
681,0,9166800,46700,149200,217200,197200,211600,8660000
682,0,6884400,54500,131000,221300,217100,215500,6392300
683,0,7575000,47200,112100,243300,216400,238000,7142500
684,0,8770500,39600,129000,218700,204300,212100,8355600
685,0,7551800,53700,133700,192500,187200,175700,7135100
686,0,8032300,23900,106800,221000,211500,218100,7631800
687,0,6889300,43400,110000,237300,220300,225400,6454000
688,0,10414000,79100,137700,241100,211200,231800,9898800
689,0,7694600,178900,131200,232700,211500,223700,7086200
690,0,8088300,23700,120400,231000,174800,224800,7643200
691,0,5950100,52300,114100,195200,177000,190300,5505100
692,0,7801800,108200,112900,230300,207300,220400,7307500
693,0,5379300,77700,121900,212400,195000,205900,4905900
694,0,6606800,35400,111600,218400,202500,212700,6151000
695,0,8835700,20900,111700,210000,203300,207500,8453800
696,0,10183800,62300,126800,242800,220700,235400,9649000
697,0,6762900,48200,126700,236000,165000,226500,6282700
698,0,7186900,66600,100800,233100,216500,225300,6708100
699,0,7437100,42700,117900,223700,213700,214300,6982400
700,0,8507300,114400,119700,232800,214900,221700,7903700
701,0,7632500,50800,120700,219400,213600,157600,7118700
702,0,8579800,57600,111300,242500,220800,230500,8103500
703,0,10981500,37200,113900,236200,208800,231000,10532800
704,0,12193300,71700,116700,196200,189900,165500,11757000
705,0,9216500,37700,114300,245200,214800,234800,8759500
706,0,7600100,60200,138300,174300,168100,157800,7127800
707,0,7515200,31000,102200,223200,210100,215100,7109700
708,0,9131000,47000,126300,190100,173100,184500,8717100
709,0,7477500,70900,121900,220900,201300,211400,7007400
710,0,8294900,60200,112000,230200,212200,219300,7819300
711,0,10848400,34600,135100,205900,176100,197200,10359100
712,0,11142300,35700,124800,219400,193600,208300,10708000
713,0,9054200,69400,132100,240600,197100,209600,8550600
714,0,7881700,29600,114800,218700,212500,159200,7456300
715,0,8045200,45500,126100,221800,215100,148800,7591200
716,0,9002400,48600,116000,229900,205100,220100,8536700
717,0,7537000,22400,102000,213800,202200,210400,7130900
718,0,8652400,39300,108800,214300,205400,194000,8130200
719,0,7585400,39000,107600,211800,189800,205400,7132800
720,0,9001000,24600,116700,217500,210700,215500,8579900
721,0,7938800,346600,119300,241200,179600,228200,7175400
722,0,7722300,68300,112800,215800,207000,213500,7263300
723,0,5789000,70800,114400,212800,205400,209300,5342200
