tick,run,wholeUpdate,transportLinesUpdate,entityUpdate
25499,1,2780800,190000,2340200
25500,1,2417500,164800,2067400
25501,1,2059200,146800,1714900
25502,1,2233900,170000,1850100
25503,1,2279900,152500,1940200
25504,1,2308400,156600,1947100
25505,1,2423400,154200,2108800
25506,1,2422100,306600,1855000
25507,1,2297800,198600,1882300
25508,1,3058000,191700,2655100
25509,1,2479600,157700,2100400
25510,1,1924800,141500,1562800
25511,1,2303000,141200,1945800
25512,1,2179500,161800,1770600
25513,1,2216900,166700,1836000
25514,1,1877900,163800,1537000
25515,1,2022600,180500,1615500
25516,1,1797200,149300,1474800
25517,1,2308600,155700,1962700
25518,1,2210000,178800,1767600
25519,1,1939300,144600,1573500
25520,1,1821700,132600,1454100
25521,1,2327900,156300,1925800
25522,1,2176900,163300,1752200
25523,1,1946400,153100,1628900
25524,1,1814700,168200,1488900
25525,1,2445900,172900,2037000
25526,1,2493100,149100,2111100
25527,1,2145900,158900,1783700
25528,1,1953600,155600,1600500
25529,1,2456000,214700,1954400
25530,1,2207500,183600,1781100
25531,1,2932100,155500,2511100
25532,1,2313500,170000,1901100
25533,1,2109100,177600,1711800
25534,1,2426800,158900,1997000
25535,1,2471000,144600,2069200
25536,1,2218600,169700,1777300
25537,1,1922700,137700,1579200
25538,1,1936800,148500,1577600
25539,1,2179300,138200,1850400
25540,1,2174800,194000,1774900
25541,1,1887000,130500,1534200
25542,1,2191900,142100,1842200
25543,1,2209000,144300,1855600
25544,1,2022100,151000,1658100
25545,1,1928900,123500,1603500
25546,1,2122500,140400,1714000
25547,1,1995900,124200,1667900
25548,1,2228300,199200,1855900
25549,1,1960400,153300,1632200
25550,1,1872300,143200,1533400
25551,1,1983000,121900,1575100
25552,1,2152000,123100,1761400
25553,1,1776400,121500,1474200
25554,1,1585400,122800,1224800
25555,1,1741400,150600,1391800
25556,1,1990000,145900,1669200
25557,1,2170300,142600,1752700
25558,1,1981400,179800,1530600
25559,1,1990500,177700,1609200
25560,1,2222300,189900,1726700
25561,1,2387700,170900,1929900
25562,1,2026800,158700,1708800
25563,1,2536900,162000,2191600
25564,1,2306200,151000,1962500
25565,1,2196600,157100,1839400
25566,1,2193100,165700,1769100
25567,1,2083800,184600,1710100
25568,1,2261000,159600,1870000
25569,1,2397300,161700,2010400
25570,1,2234400,157800,1829700
25571,1,2179400,137900,1853800
25572,1,1880000,174200,1555800
25573,1,2264900,147200,1913500
25574,1,2152300,165900,1777100
25575,1,2278100,179300,1867400
25576,1,2071100,163900,1715600
25577,1,2245100,182700,1842800
25578,1,2002100,172300,1622800
25579,1,2168800,153600,1802500
25580,1,1899300,136400,1580300
25581,1,1810400,138000,1432500
25582,1,2110500,140700,1724600
25583,1,2020400,131600,1718100
25584,1,2061600,190500,1685200
25585,1,1743700,170500,1390600
25586,1,1982300,139900,1646100
25587,1,1870300,145400,1529800
25588,1,2107400,166300,1765200
25589,1,1881000,157500,1541600
25590,1,1771000,157100,1434200
25591,1,1999100,160000,1592500
25592,1,1887100,161400,1547800
25593,1,1671600,176000,1333600
25594,1,2068000,184600,1638800
25595,1,2551800,182500,2144000
25596,1,2438400,155700,2057800
25597,1,1951900,156100,1612800
25598,1,1806600,161800,1428100
25599,1,2435400,173900,2032500
25600,1,2316200,169200,1940900
25601,1,2212400,180400,1871500
25602,1,2026700,157500,1680400
25603,1,2376300,165300,1979800
25604,1,2522200,162800,2153300
25605,1,2076600,147200,1729500
25606,1,1918800,141600,1551400
25607,1,1949500,142300,1637500
25608,1,2154300,241200,1717800
25609,1,1957600,150700,1579500
25610,1,1906200,137300,1587800
25611,1,1932900,135700,1547000
25612,1,1981200,126400,1668100
25613,1,1886100,123100,1571300
25614,1,1727600,124200,1407800
25615,1,1693700,147600,1326100
25616,1,1567100,113700,1289700
25617,1,1783500,162100,1422800
25618,1,2014300,139600,1606900
25619,1,1903100,152100,1502900
25620,1,1867700,166100,1516700
25621,1,2062800,166400,1661800
25622,1,1734100,129600,1430500
25623,1,1639500,127700,1311800
25624,1,1725600,159200,1310500
25625,1,1680200,152600,1349500
25626,1,2235300,199700,1797500
25627,1,1981900,147900,1616000
25628,1,2627600,185500,2258500
25629,1,2009400,152200,1609300
25630,1,2289600,222600,1803800
25631,1,2535500,153200,2169100
25632,1,1906400,158300,1570300
25633,1,2205900,164500,1820000
25634,1,1908800,152500,1553700
25635,1,2212400,159600,1810800
25636,1,2090900,177900,1703800
25637,1,2422100,161600,2049200
25638,1,2398000,184500,1982200
25639,1,2483400,168700,2076300
25640,1,2318800,141800,1939600
25641,1,2292500,191900,1798400
25642,1,2059600,172900,1668000
25643,1,2416600,141900,2075800
25644,1,2340300,173800,1894000
25645,1,2112500,151000,1629200
25646,1,2175900,168600,1794300
25647,1,2277900,190000,1955300
25648,1,2253000,162500,1898100
25649,1,1936100,154600,1612800
25650,1,1682800,137400,1353500
25651,1,2781600,139900,2470400
25652,1,2148400,139400,1813900
25653,1,2313900,194900,1890500
25654,1,1854500,193700,1441900
25655,1,2180200,178500,1826400
25656,1,2318300,148400,1944700
25657,1,2094400,164100,1768100
25658,1,1715000,130900,1383900
25659,1,1698600,154600,1318100
25660,1,2249300,161400,1865200
25661,1,2166000,169500,1838800
25662,1,1816300,165500,1454800
25663,1,1964100,179300,1634300
25664,1,2376000,188200,2022200
25665,1,2394700,159800,2027500
25666,1,2226000,163200,1836900
25667,1,2065900,167300,1741900
25668,1,1892100,160500,1508700
25669,1,2260000,166000,1886000
25670,1,2133800,164900,1748200
25671,1,1895700,159500,1502000
25672,1,1839600,157100,1462800
25673,1,2334100,169800,1918200
25674,1,2287300,144400,1932000
25675,1,1967500,133800,1644800
25676,1,2064600,135700,1685900
25677,1,2032200,147300,1666500
25678,1,2137800,155000,1717700
25679,1,2193800,171900,1819400
25680,1,1916100,128200,1623700
25681,1,1851400,131600,1516100
25682,1,1858500,119100,1544600
25683,1,2390000,119100,2052500
25684,1,1545200,118400,1261800
25685,1,1512400,113700,1107600
25686,1,1715900,121900,1401200
25687,1,1583200,128700,1299200
25688,1,1794200,128700,1496000
25689,1,1758500,142000,1414000
