fileName,run,wholeUpdate_average,controlBehaviorUpdate_average,transportLinesUpdate_average,electricHeatFluidCircuitUpdate_average,electricNetworkUpdate_average,fluidFlowUpdate_average,entityUpdate_average,trains_average
18_akaravortex,1,1848121.2163442778,122630.13545905569,118774.10112046379,110343.46396120185,100249.7909582474,74779.80377947488,1470780.1438207258,165.68928033892635
18_akaravortex,2,1872267.289146552,123128.52444394893,119731.83566531022,110432.22030213501,100143.47511009533,75654.83583254361,1492796.956352082,153.4812419867328
18_akaravortex,3,1866748.7095155807,123268.01939907465,120109.47098500474,110589.67055019789,100409.48770834495,74879.27420703495,1485237.142538603,164.5966887786387
18_akaravortex,4,1866610.4911087574,122688.95702101567,118747.16539383466,110357.34990802163,100188.26021517365,74828.51329505547,1488631.4064329115,163.7326495345337
18_akaravortex,5,1863290.6126316963,122917.36997602988,119879.9152684096,110122.35353141201,99931.34511399743,75137.82819555158,1484434.9573554825,158.1080327777468
17_akaravortex,0,1468362.8017169295,90639.03785049333,106374.3185238865,66134.38318746864,56380.071352918225,43514.62177378895,1182118.6186520988,162.35018674396565
17_akaravortex,1,1475023.5520374603,91562.2777189364,108812.87697196053,66094.464574391,56251.02848542282,43498.901833992975,1185544.7182117174,160.01449356151403
17_akaravortex,2,1472255.8113607224,91578.96761246446,108374.97630860137,66274.93171302749,56507.8934165784,43841.864094988574,1182956.4189754168,165.193154579408
17_akaravortex,3,1468133.173532527,89802.89313785607,105278.23735994202,66323.55761190702,56488.00379062378,43994.62065889961,1183751.8813757733,160.36010925915602
17_akaravortex,4,1478550.0864039245,90898.65655833659,107700.59089135403,66385.84647973688,56666.6257873906,43495.12235910586,1190583.4327443002,164.22877529405207
17_akaravortex,5,1470365.2377501533,90647.02603266625,105867.31701878589,66111.02068119739,56312.871397513794,43481.52628351636,1184693.6674285077,152.51686270137688
16_teaz,0,1488799.2418752438,142492.82568705056,96946.50203467306,69716.96304141814,59161.140531802215,45832.666257873905,1155248.531133285,164.39043424940076
16_teaz,1,1479105.5855956296,142553.7989854507,95930.01839567423,69309.73855844808,58677.31757623056,45629.41635542672,1146537.6609621495,165.5554936172585
16_teaz,2,1475194.8603601092,143727.00261998997,97100.64106137466,69698.19387925748,59070.47773008529,45872.0831707453,1140063.6434583867,175.37766876637494
16_teaz,3,1472838.0790456547,142729.36061095935,97353.07988182173,69246.04493004069,58769.981604325774,46780.09365070517,1139111.22136128,178.47148670494454
16_teaz,4,1493145.2087630304,143220.61987847707,97614.71096493673,70001.99565193155,59256.00089191148,46430.80439266403,1157015.5861530744,163.36473604994706
16_teaz,5,1502173.9952059758,145506.95690952672,98410.06187635877,69950.23133953955,59345.883271085346,46941.044651318356,1161174.8480963265,164.20647750710742
15_yoyonas,0,1697735.6151401973,81066.65365962428,118300.50170020625,53011.02068119739,43760.304364791795,25151.201293271642,1419575.2494564916,158.03556497017672
15_yoyonas,1,1701606.2601036846,81701.7726740621,118826.37270750878,53105.38491554713,43871.207982607724,24962.77941914265,1421465.2154523663,154.94174703160712
15_yoyonas,2,1733110.5802999053,87732.24259992196,124827.74402140587,58370.97385584481,46800.10034004125,29449.33385361503,1434751.8033335193,161.25202073694186
15_yoyonas,3,1735151.4298455878,87318.75801326719,124843.71481130498,58038.898489324936,46676.86047159819,29300.105914487987,1437350.7664864261,158.24181949941467
