tick,run,wholeUpdate,entityUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate
3446,0,613600,305000,102300,89300,92600
3447,0,591500,206200,170300,71300,115000
3448,0,715400,367300,101900,111400,100700
3449,0,717500,334300,99300,143200,85800
3450,0,852700,549700,83700,79600,83000
3451,0,1921200,1625800,85600,72200,84700
3452,0,685600,367500,90800,76000,96200
3453,0,961600,317300,418800,83500,105100
3454,0,1114500,760100,87500,92100,101000
3455,0,755300,431400,98200,82700,98000
3456,0,2621300,2211500,149900,86600,98700
3457,0,677500,355500,96300,66400,93600
3458,0,1587200,1125000,103700,73400,95000
3459,0,1187800,791600,96300,88900,88200
3460,0,1137100,872700,78600,85700,78100
3461,0,2202400,1888100,102700,71100,117100
3462,0,937100,646800,83400,83800,100800
3463,0,529400,275400,74700,65200,94900
3464,0,710400,413900,97400,87200,86800
3465,0,562400,271500,101100,72800,86800
3466,0,712900,387300,77300,78300,120100
3467,0,2407200,2125800,95700,83200,83900
3468,0,624600,342800,85000,77900,98100
3469,0,439200,155000,88800,77200,91300
3470,0,641600,326600,95000,83900,101300
3471,0,571700,219300,91600,110700,83900
3472,0,2058000,1767100,83500,88900,82100
3473,0,568500,242400,99500,111800,85200
3474,0,659200,377100,84200,73600,93100
3475,0,533300,204400,91300,112800,95100
3476,0,597600,307300,89600,82900,84000
3477,0,1974300,1592300,93900,116600,83400
3478,0,928600,444200,107100,200400,99600
3479,0,719900,323400,80000,148600,109100
3480,0,716000,402500,104000,92800,86700
3481,0,459100,176900,76800,97600,87200
3482,0,2208300,1900800,106300,76500,91800
3483,0,621000,273000,111200,99300,97700
3484,0,703500,365000,106400,85700,102300
3485,0,456900,175300,81500,65400,87600
3486,0,591000,268400,91100,78300,88400
3487,0,442800,166800,79600,73600,85000
3488,0,2180900,1771400,179900,72900,133000
3489,0,549200,235900,98900,93700,81800
3490,0,772600,369100,87900,130300,110500
3491,0,429800,158100,83000,73500,84700
3492,0,651500,369300,89700,76100,84300
3493,0,1930700,1668800,94100,61000,80900
3494,0,751300,442500,90600,77700,106400
3495,0,792300,205900,378000,77500,103000
3496,0,1082000,783000,83200,82000,99200
3497,0,579500,266700,91200,81900,100600
3498,0,2460800,2061400,161900,76600,104600
3499,0,594200,283700,87000,75500,89400
3500,0,2206000,1211300,786500,76200,95100
3501,0,3986700,3523500,124300,86400,181100
3502,0,3068600,2639900,126500,109300,95100
3503,0,1840700,1473900,103400,94800,117100
3504,0,4150200,3751100,155800,81700,116900
3505,0,2364800,2019900,90100,94300,114000
3506,0,1651900,1282800,103400,85400,138300
3507,0,1637900,1235600,181800,85400,97000
3508,0,1927000,1413600,240600,74400,158700
3509,0,3072900,2727600,105300,102500,91500
3510,0,1316000,945800,109400,95800,112300
3511,0,800300,453500,100200,83400,114000
3512,0,996900,533300,102200,208500,109900
3513,0,933700,569500,95100,120300,110500
3514,0,2690300,2292700,96000,79100,149300
3515,0,790900,427100,93000,122800,104600
3516,0,872100,508300,95000,97300,93800
3517,0,577500,210700,77800,123500,101600
3518,0,651400,298300,95100,75200,112300
3519,0,580900,239100,82100,109000,97900
3520,0,2177200,1849400,92300,112000,101100
3521,0,580800,223700,99300,126900,102000
